slug,symbol,name,date,ranknow,open,high,low,close,volume,market_price,close_ratio,spread
ethereum,ETH,Ethereum,8/7/2015,3,2.83,3.54,2.52,2.77,164329,166610555,0.2451,1.02
ethereum,ETH,Ethereum,8/8/2015,3,2.79,2.8,0.714725,0.753325,674188,45486894,0.0185,2.09
ethereum,ETH,Ethereum,8/9/2015,3,0.706136,0.87981,0.629191,0.701897,532170,42399573,0.2901,0.25
ethereum,ETH,Ethereum,8/10/2015,3,0.713989,0.729854,0.636546,0.708448,405283,42818364,0.7706,0.09
ethereum,ETH,Ethereum,8/11/2015,3,0.708087,1.13,0.663235,1.07,1463100,64569288,0.8715,0.47
ethereum,ETH,Ethereum,8/12/2015,3,1.06,1.29,0.883608,1.22,2150620,73645011,0.8278,0.41
ethereum,ETH,Ethereum,8/13/2015,3,1.22,1.97,1.17,1.83,4068680,110607192,0.825,0.8
ethereum,ETH,Ethereum,8/14/2015,3,1.81,2.26,1.75,1.83,4637030,110672322,0.1569,0.51
ethereum,ETH,Ethereum,8/15/2015,3,1.8,1.88,1.57,1.69,2554360,102303608,0.3871,0.31
ethereum,ETH,Ethereum,8/16/2015,3,1.68,1.7,1.09,1.57,3550790,94901005,0.7869,0.61
ethereum,ETH,Ethereum,8/17/2015,3,1.58,1.58,1.19,1.2,1942830,87295367,0.0256,0.39
ethereum,ETH,Ethereum,8/18/2015,3,1.22,1.33,1.09,1.09,1485680,78868413,0,0.24
ethereum,ETH,Ethereum,8/19/2015,3,1.17,1.32,1.17,1.26,1486240,91366391,0.6,0.15
ethereum,ETH,Ethereum,8/20/2015,3,1.25,1.53,1.25,1.46,2843760,106351420,0.75,0.28
ethereum,ETH,Ethereum,8/21/2015,3,1.48,1.56,1.35,1.4,2020970,101331856,0.2381,0.21
ethereum,ETH,Ethereum,8/22/2015,3,1.4,1.48,1.35,1.38,948310,100201826,0.2308,0.13
ethereum,ETH,Ethereum,8/23/2015,3,1.38,1.41,1.3,1.35,1589300,98300351,0.4545,0.11
ethereum,ETH,Ethereum,8/24/2015,3,1.35,1.36,1.23,1.23,924920,89515257,0,0.13
ethereum,ETH,Ethereum,8/25/2015,3,1.23,1.24,1.13,1.14,1307180,82922633,0.0909,0.11
ethereum,ETH,Ethereum,8/26/2015,3,1.13,1.2,1.06,1.16,1056750,84390924,0.7143,0.14
ethereum,ETH,Ethereum,8/27/2015,3,1.17,1.19,1.14,1.15,686662,83524585,0.2,0.05
ethereum,ETH,Ethereum,8/28/2015,3,1.15,1.21,1.12,1.19,721872,86731077,0.7778,0.09
ethereum,ETH,Ethereum,8/29/2015,3,1.19,1.21,1.15,1.18,375377,86113895,0.5,0.06
ethereum,ETH,Ethereum,8/30/2015,3,1.18,1.37,1.17,1.32,1337650,96097349,0.75,0.2
ethereum,ETH,Ethereum,8/31/2015,3,1.32,1.4,1.2,1.36,1447180,98963975,0.8,0.2
ethereum,ETH,Ethereum,9/1/2015,3,1.35,1.39,1.34,1.35,778862,98507500,0.2,0.05
ethereum,ETH,Ethereum,9/2/2015,3,1.35,1.35,1.26,1.29,883769,94389544,0.3333,0.09
ethereum,ETH,Ethereum,9/3/2015,3,1.3,1.31,1.21,1.26,702991,92234142,0.5,0.1
ethereum,ETH,Ethereum,9/4/2015,3,1.26,1.3,1.24,1.27,474391,92953701,0.5,0.06
ethereum,ETH,Ethereum,9/5/2015,3,1.28,1.34,1.27,1.34,448453,97683883,1,0.07
ethereum,ETH,Ethereum,9/6/2015,3,1.34,1.37,1.29,1.3,491968,94580164,0.125,0.08
ethereum,ETH,Ethereum,9/7/2015,3,1.3,1.31,1.24,1.25,489014,91020735,0.1429,0.07
ethereum,ETH,Ethereum,9/8/2015,3,1.25,1.28,1.23,1.24,427892,90743242,0.2,0.05
ethereum,ETH,Ethereum,9/9/2015,3,1.24,1.26,1.2,1.21,366748,88150125,0.1667,0.06
ethereum,ETH,Ethereum,9/10/2015,3,1.21,1.22,1.14,1.17,662782,85202732,0.375,0.08
ethereum,ETH,Ethereum,9/11/2015,3,1.16,1.17,0.940675,0.982978,1942600,71868265,0.1845,0.23
ethereum,ETH,Ethereum,9/12/2015,3,0.987228,1.11,0.96978,1.04,772430,75971273,0.5008,0.14
ethereum,ETH,Ethereum,9/13/2015,3,1.04,1.04,0.902832,0.936003,644138,68480587,0.2418,0.14
